epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,
1,4.70979,3.5275,5.77013,4.29342,0,0,0,0,3.49241,5.33192,4.15877,3.69E-05,3.69E-05,3.69E-05,
2,7.62751,3.52128,5.70896,4.26659,0,0,0,0,3.49131,5.34867,4.16024,7.35E-05,7.35E-05,7.35E-05,
3,10.4803,3.56395,5.64958,4.25286,0,0,0,0,3.48738,5.37685,4.16303,0.000108573,0.000108573,0.000108573,
4,13.4446,3.66251,5.65711,4.2292,0,0,0,0,3.47846,5.41182,4.1666,0.000111931,0.000111931,0.000111931,
5,16.5069,3.60594,5.66101,4.2046,0,0,0,0,3.46661,5.41133,4.16843,0.000109575,0.000109575,0.000109575,
6,19.336,3.62517,5.64676,4.20105,0.00047,6.00E-05,0,0,3.45637,5.32823,4.16194,0.000107219,0.000107219,0.000107219,
7,22.349,3.65036,5.60981,4.20146,0.00032,0.00374,4.00E-05,1.00E-05,3.44849,5.18456,4.18173,0.000104863,0.000104863,0.000104863,
8,25.4081,3.51409,5.56525,4.19087,0.00112,0.00857,0.00012,2.00E-05,3.45502,5.09813,4.20667,0.000102507,0.000102507,0.000102507,
9,28.6782,3.56827,5.54321,4.17601,0.00041,0.01936,0.00012,2.00E-05,3.44951,5.05403,4.20681,0.00010015,0.00010015,0.00010015,
10,31.9305,3.57053,5.55723,4.16514,0.67804,0.00162,0.00099,0.00012,3.44346,5.00171,4.20858,9.78E-05,9.78E-05,9.78E-05,
11,35.0791,3.57432,5.43059,4.16102,0.00048,0.01728,0.00029,0.00012,3.42914,4.97547,4.2033,9.54E-05,9.54E-05,9.54E-05,
12,38.2878,3.52071,5.49827,4.15366,0.00151,0.01474,0.00021,4.00E-05,3.41523,4.94983,4.20345,9.31E-05,9.31E-05,9.31E-05,
13,41.4452,3.55502,5.46176,4.15773,0.00216,0.01116,0.00037,0.00015,3.40957,4.92658,4.19309,9.07E-05,9.07E-05,9.07E-05,
14,44.566,3.57831,5.35992,4.14078,0.00202,0.0175,0.00047,0.00013,3.40936,4.91221,4.17021,8.84E-05,8.84E-05,8.84E-05,
15,47.7413,3.54172,5.45359,4.14263,0.00047,0.02299,0.00051,0.00014,3.40923,4.94732,4.1619,8.60E-05,8.60E-05,8.60E-05,
16,50.8978,3.54664,5.29712,4.1299,0.00519,0.02377,0.0006,0.00017,3.40591,4.94794,4.14475,8.37E-05,8.37E-05,8.37E-05,
17,54.058,3.53786,5.35269,4.1233,0.00505,0.01831,0.00142,0.00027,3.40624,4.92207,4.14769,8.13E-05,8.13E-05,8.13E-05,
18,57.2704,3.5647,5.37375,4.12431,0.00197,0.02227,0.00134,0.00031,3.40974,4.9385,4.148,7.89E-05,7.89E-05,7.89E-05,
19,60.4306,3.51266,5.34432,4.12238,0.00107,0.02607,0.00161,0.00039,3.38671,4.87356,4.13803,7.66E-05,7.66E-05,7.66E-05,
20,63.6758,3.4889,5.356,4.10304,0.00085,0.02197,0.00199,0.00057,3.40139,4.88179,4.12726,7.42E-05,7.42E-05,7.42E-05,
21,66.8334,3.65819,5.36061,4.10729,0.00059,0.0218,0.00256,0.00079,3.40489,4.86656,4.12808,7.19E-05,7.19E-05,7.19E-05,
22,70.0324,3.49989,5.26463,4.10161,0.25602,0.00517,0.00248,0.00082,3.39316,4.86497,4.11898,6.95E-05,6.95E-05,6.95E-05,
23,73.309,3.62063,5.30306,4.08984,0.00073,0.02719,0.00198,0.0006,3.39848,4.83867,4.1134,6.72E-05,6.72E-05,6.72E-05,
24,76.5606,3.49483,5.27275,4.08285,0.07161,0.01696,0.00289,0.0009,3.39752,4.81779,4.11005,6.48E-05,6.48E-05,6.48E-05,
25,79.8286,3.50449,5.31069,4.08826,0.00056,0.02098,0.00319,0.00101,3.3943,4.78691,4.10352,6.25E-05,6.25E-05,6.25E-05,
26,83.2538,3.48581,5.25955,4.08347,0.00069,0.02293,0.00268,0.00084,3.38531,4.75824,4.10167,6.01E-05,6.01E-05,6.01E-05,
27,86.5933,3.446,5.18678,4.07602,0.00087,0.02023,0.00204,0.0006,3.38743,4.74843,4.09474,5.77E-05,5.77E-05,5.77E-05,
28,89.8895,3.44103,5.20534,4.07275,0.00101,0.02258,0.0029,0.00073,3.37994,4.72538,4.09245,5.54E-05,5.54E-05,5.54E-05,
29,93.1205,3.49703,5.26779,4.07323,0.00104,0.02316,0.00297,0.00079,3.38324,4.70844,4.0861,5.30E-05,5.30E-05,5.30E-05,
30,96.4865,3.45388,5.26134,4.06726,0.00099,0.02653,0.00307,0.00076,3.38284,4.70429,4.08947,5.07E-05,5.07E-05,5.07E-05,
31,99.6933,3.45674,5.25173,4.062,0.00099,0.02942,0.00317,0.00092,3.39198,4.72225,4.0963,4.83E-05,4.83E-05,4.83E-05,
32,102.86,3.48807,5.15558,4.05691,0.00114,0.03287,0.00286,0.00091,3.38088,4.70766,4.08596,4.60E-05,4.60E-05,4.60E-05,
33,106.096,3.57368,5.20609,4.05908,0.00135,0.03513,0.002,0.00052,3.37425,4.73092,4.07609,4.36E-05,4.36E-05,4.36E-05,
34,109.33,3.49677,5.17449,4.04634,0.00116,0.03459,0.00226,0.0007,3.36792,4.71337,4.06253,4.12E-05,4.12E-05,4.12E-05,
35,112.67,3.5424,5.11051,4.03525,0.001,0.02859,0.00226,0.00055,3.35821,4.7,4.05318,3.89E-05,3.89E-05,3.89E-05,
36,115.981,3.52754,5.22049,4.04181,0.00117,0.03589,0.00142,0.0004,3.37363,4.72596,4.06335,3.65E-05,3.65E-05,3.65E-05,
37,119.284,3.55256,5.20665,4.04376,0.00078,0.03166,0.00117,0.00032,3.37949,4.73328,4.06176,3.42E-05,3.42E-05,3.42E-05,
38,122.629,3.43574,5.17447,4.01549,0.00106,0.03435,0.003,0.00061,3.38523,4.71073,4.06017,3.18E-05,3.18E-05,3.18E-05,
39,125.797,3.44756,5.15551,4.04022,0.00103,0.03363,0.00212,0.00048,3.38831,4.7093,4.06226,2.95E-05,2.95E-05,2.95E-05,
40,129.03,3.4162,5.10393,4.04127,0.00111,0.0395,0.00342,0.00067,3.37274,4.65673,4.05041,2.71E-05,2.71E-05,2.71E-05,
41,164.55,3.29159,5.32975,4.01828,0.00096,0.03562,0.00205,0.00037,3.36868,4.64194,4.04414,2.48E-05,2.48E-05,2.48E-05,
42,167.886,3.33831,5.40216,4.00427,0.21494,0.00698,0.00187,0.00041,3.37136,4.6577,4.03911,2.24E-05,2.24E-05,2.24E-05,
43,171.187,3.31575,5.37368,4.00884,0.15671,0.00812,0.00203,0.0004,3.37572,4.67981,4.03348,2.00E-05,2.00E-05,2.00E-05,
44,174.486,3.27869,5.27712,3.9948,0.1713,0.0079,0.0021,0.00051,3.36903,4.67935,4.0304,1.77E-05,1.77E-05,1.77E-05,
45,177.616,3.35108,5.2784,3.9948,0.00131,0.03765,0.00253,0.00047,3.36388,4.63252,4.02843,1.53E-05,1.53E-05,1.53E-05,
46,180.878,3.32383,5.59995,4.00038,0.05719,0.03161,0.00305,0.00071,3.37146,4.64913,4.03402,1.30E-05,1.30E-05,1.30E-05,
47,184.392,3.30945,5.31426,4.00334,0.00075,0.03285,0.00202,0.00046,3.36755,4.63163,4.0291,1.06E-05,1.06E-05,1.06E-05,
48,187.783,3.21765,5.39741,3.98464,0.00086,0.04001,0.00258,0.00067,3.36076,4.60926,4.02131,8.26E-06,8.26E-06,8.26E-06,
49,191.159,3.30565,5.38281,3.98831,0.00093,0.04651,0.00205,0.00048,3.36027,4.59821,4.01884,5.90E-06,5.90E-06,5.90E-06,
50,194.42,3.34636,5.29955,3.9954,0.19877,0.00648,0.00177,0.00042,3.35992,4.61981,4.02294,3.55E-06,3.55E-06,3.55E-06,
,,,,,,,,,,,,,,,
